Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director
Hanna,2011,"Action, Adventure, Drama",PG-13,tt0993842,Seth Lochhead,Joe Wright
Harry Potter And The Deathly Hallows Part 2,2011,"Adventure, Family, Fantasy",PG-13,tt1201607,Steve Kloves,David Yates
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",PG-13,tt0926084,Steve Kloves,David Yates
Heaven Is for Real,2014,"Biography, Drama, Family",PG,tt1929263,Randall Wallace,Randall Wallace
Hereafter,2010,"Drama, Fantasy, Romance",PG-13,tt1212419,Peter Morgan,Clint Eastwood
Hero,2002,"Action, Adventure, Drama",PG-13,tt0299977,Feng Li,Yimou Zhang
He's Just Not That Into You,2009,"Comedy, Drama, Romance",PG-13,tt1001508,Abby Kohn,Ken Kwapis
Hitler: The Rise of Evil,2003,"Biography, Drama, History",TV-14,tt0346293,N/A,N/A
Hitman Agent 47,2015,"Action, Crime, Thriller",R,tt2679042,Skip Woods,Aleksander Bach
Hollow Man,2000,"Action, Horror, Sci-Fi",R,tt0164052,Gary Scott Thompson,Paul Verhoeven
How to Train Your Dragon 2,2014,"Animation, Action, Adventure",PG,tt1646971,Dean DeBlois,Dean DeBlois
How to Train Your Dragon: The Hidden World,2019,"Animation, Action, Adventure",PG,tt2386490,Dean DeBlois,Dean DeBlois
Hugo,2011,"Adventure, Drama, Family",PG,tt0970179,John Logan,Martin Scorsese
Hunter Killer,2018,"Action, Thriller",R,tt1846589,Arne Schmidt,Donovan Marsh
Hypnotic,2023,"Action, Mystery, Thriller",R,tt8080204,Robert Rodriguez,Robert Rodriguez
I am Legend,2007,"Action, Drama, Horror",PG-13,tt0480249,Mark Protosevich,Francis Lawrence
I am Number Four,2011,"Action, Adventure, Sci-Fi",PG-13,tt1464540,Alfred Gough,D.J. Caruso
Ice Age Collision Course,2016,"Animation, Adventure, Comedy",PG,tt3416828,Michael J. Wilson,"Michael Thurmeier, Galen T. Chu"
Ice Age: Continental Drift,2012,"Animation, Adventure, Comedy",PG,tt1667889,Michael Berg,"Steve Martino, Michael Thurmeier"
In the Heart of the Sea,2015,"Action, Adventure, Biography",PG-13,tt1390411,Charles Leavitt,Ron Howard
In Time,2011,"Action, Sci-Fi, Thriller",PG-13,tt1637688,Andrew Niccol,Andrew Niccol
Inception,2010,"Action, Adventure, Sci-Fi",PG-13,tt1375666,Christopher Nolan,Christopher Nolan
Independence Day,1996,"Action, Adventure, Sci-Fi",PG-13,tt0116629,Dean Devlin,Roland Emmerich
Independence Day Resurgence,2016,"Action, Adventure, Sci-Fi",PG-13,tt1628841,Nicolas Wright,Roland Emmerich
Indiana Jones And The Dial Of Destiny,2023,"Action, Adventure, Sci-Fi",PG-13,tt1462764,Jez Butterworth,James Mangold
Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action, Adventure",PG-13,tt0367882,David Koepp,Steven Spielberg
Indiana Jones and the Last Crusade,1989,"Action, Adventure",PG-13,tt0097576,Jeffrey Boam,Steven Spielberg
Indiana Jones and the Raiders of the Lost Ark,1981,"Action, Adventure",PG,tt0082971,Lawrence Kasdan,Steven Spielberg
