Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director
The Secret,2006,Documentary,PG,tt0846789,Rhonda Byrne (original concept),Drew Heriot
The Secret In Their Eyes,2009,"Drama, Mystery, Romance",R,tt1305806,Eduardo Sacheri,Juan Jos? Campanella
The Secret of Kells,2009,"Animation, Adventure, Family",Not Rated,tt0485601,Tomm Moore,"Tomm Moore, Nora Twomey"
The Seventh Sign,1988,"Drama, Fantasy, Horror",R,tt0096073,Ellen Green,Carl Schultz
The Shawshank Redemption,1994,Drama,R,tt0111161,Stephen King,Frank Darabont
The Social Dilemma,2020,"Documentary, Drama",PG-13,tt11464826,Vickie Curtis,Jeff Orlowski-Yang
The Sorcerer's Apprentice,2010,"Action, Adventure, Family",PG,tt0963966,Lawrence Konner,Jon Turteltaub
The Sound of Music,1965,"Biography, Drama, Family",G,tt0059742,Georg Hurdalek,Robert Wise
The Specialist,1994,"Action, Drama, Thriller",R,tt0111255,John Shirley,Luis Llosa
The Spy Who Loved Me,1977,"Action, Adventure, Thriller",PG,tt0076752,Christopher Wood,Lewis Gilbert
The Student,2016,Drama,Unrated,tt4874206,Kirill Serebrennikov,Kirill Serebrennikov
The Suicide Squad,2021,"Action, Adventure, Comedy",R,tt6334354,James Gunn,James Gunn
The Sum of All Fears,2002,"Action, Drama, Thriller",PG-13,tt0164184,Tom Clancy,Phil Alden Robinson
The Thomas Crown Affair,1999,"Crime, Romance, Thriller",R,tt0155267,Alan Trustman,John McTiernan
The Three Musketeers,2011,"Action, Adventure, Fantasy",PG-13,tt1509767,Alex Litvak,Paul W.S. Anderson
The Tomorrow War,2021,"Action, Adventure, Drama",PG-13,tt9777666,Zach Dean,Chris McKay
The Transporter Refueled,2015,"Action, Thriller",PG-13,tt2938956,Adam Cooper,Camille Delamarre
The Trigger Effect,1996,"Drama, Thriller",R,tt0117965,James Burke,David Koepp
The Unbearable Lightness of Being,1988,"Drama, Romance",R,tt0096332,Milan Kundera,Philip Kaufman
The Usual Suspects,1995,"Crime, Drama, Mystery",R,tt0114814,Christopher McQuarrie,Bryan Singer
The Vow,2012,"Drama, Romance",PG-13,tt1606389,Abby Kohn,Michael Sucsy
The Wait,2013,"Drama, Thriller",R,tt1675759,M. Blash,M. Blash
The Wedding Ringer,2015,"Comedy, Romance",R,tt0884732,Jeremy Garelick,Jeremy Garelick
The Wolf of Wall Street,2013,"Biography, Comedy, Crime",R,tt0993846,Terence Winter,Martin Scorsese
The Wolverine,2013,"Action, Sci-Fi",PG-13,tt1430132,Mark Bomback,James Mangold
The World Is Not Enough,1999,"Action, Adventure, Thriller",PG-13,tt0143145,Neal Purvis,Michael Apted
The_Hundred_Foot_Journey,2014,"Comedy, Drama",PG,tt2980648,Steven Knight,Lasse Hallstr?m
This Means War,2012,"Action, Comedy, Romance",PG-13,tt1596350,Timothy Dowling,McG
Thor Ragnarok,2017,"Action, Adventure, Comedy",PG-13,tt3501632,Eric Pearson,Taika Waititi
Thunderball,1965,"Action, Adventure, Thriller",PG,tt0059800,Richard Maibaum,Terence Young
"Tiger, Blood in the Mouth",2016,"Drama, Sport",N/A,tt4791322,Hern?n Bel?n,Hern?n Bel?n
Titanic,1997,"Drama, Romance",PG-13,tt0120338,James Cameron,James Cameron
Tomorrow Never Dies,1997,"Action, Adventure, Thriller",PG-13,tt0120347,Bruce Feirstein,Roger Spottiswoode
Tomorrowland,2015,"Action, Adventure, Family",PG,tt1964418,Damon Lindelof,Brad Bird
Top Gun,1986,"Action, Drama",PG,tt0092099,Jim Cash,Tony Scott
Top Gun Maverick,2022,"Action, Drama",PG-13,tt1745960,Jim Cash,Joseph Kosinski
Torment,1994,"Crime, Drama, Thriller",Not Rated,tt0109731,Claude Chabrol,Claude Chabrol
Total Recall,1990,"Action, Adventure, Sci-Fi",R,tt0100802,Philip K. Dick,Paul Verhoeven
Tracks,2013,"Adventure, Biography, Drama",PG-13,tt2167266,Marion Nelson,John Curran
Transcendence,2014,"Action, Drama, Sci-Fi",PG-13,tt2209764,Jack Paglen,Wally Pfister
Transformers: Revenge of the Fallen,2009,"Action, Adventure, Sci-Fi",PG-13,tt1055369,Ehren Kruger,Michael Bay
Transformers-Dark Of The Moon,2011,"Action, Adventure, Sci-Fi",PG-13,tt1399103,Ehren Kruger,Michael Bay
Transporter 3,2008,"Action, Adventure, Thriller",PG-13,tt1129442,Luc Besson,Olivier Megaton
Tristan + Isolde,2006,"Action, Drama, Romance",PG-13,tt0375154,Dean Georgaris,Kevin Reynolds
Troy,2004,Drama,R,tt0332452,Homer,Wolfgang Petersen
True Grit,2010,"Drama, Western",PG-13,tt1403865,Joel Coen,"Ethan Coen, Joel Coen"
True Lies,1994,"Action, Comedy, Thriller",R,tt0111503,James Cameron,James Cameron
Twentynine Palms,2003,"Drama, Horror",Unrated,tt0315110,Bruno Dumont,Bruno Dumont
Two Moon Junction,1988,"Drama, Romance",R,tt0096324,Zalman King,Zalman King
U 571,2000,"Action, War",PG-13,tt0141926,Jonathan Mostow,Jonathan Mostow
"Ultramarines: A Warhammer 40,000 Movie",2010,"Animation, Action, Fantasy",R,tt1679332,Dan Abnett,Martyn Pick
Underwater,2020,"Action, Horror, Sci-Fi",PG-13,tt5774060,Brian Duffield,William Eubank
Unknown,2011,"Action, Mystery, Thriller",PG-13,tt1401152,Oliver Butcher,Jaume Collet-Serra
Unstoppable,2010,"Action, Thriller",PG-13,tt0477080,Mark Bomback,Tony Scott
Untraceable,2008,"Crime, Mystery, Thriller",R,tt0880578,Robert Fyvolent,Gregory Hoblit
Up,2009,"Animation, Adventure, Comedy",PG,tt1049413,Pete Docter,"Pete Docter, Bob Peterson"
V for Vendetta,2005,"Action, Drama, Sci-Fi",R,tt0434409,Lilly Wachowski,James McTeigue
Vacation,2015,"Adventure, Comedy",R,tt1524930,Jonathan Goldstein,"John Francis Daley, Jonathan Goldstein"
Valkyrie,2008,"Drama, History, Thriller",PG-13,tt0985699,Christopher McQuarrie,Bryan Singer
Valley of Flowers,2006,"Adventure, Drama, Fantasy",N/A,tt0392883,Pan Nalin,Pan Nalin
Vanilla Sky,2001,"Fantasy, Mystery, Romance",R,tt0259711,Alejandro Amen?bar,Cameron Crowe
Venom,2018,"Action, Adventure, Sci-Fi",PG-13,tt1270797,Jeff Pinkner,Ruben Fleischer
Venom Let There Be Carnage,2021,"Action, Sci-Fi, Thriller",PG-13,tt7097896,Kelly Marcel,Andy Serkis
Vernost,2019,Drama,N/A,tt10516086,Lyubov Mulmenko,Nigina Sayfullaeva
Vertical Limit,2000,"Action, Adventure, Drama",PG-13,tt0190865,Robert King,Martin Campbell
Voyagers,2021,"Adventure, Sci-Fi, Thriller",PG-13,tt9664108,Neil Burger,Neil Burger
Walking Tall,2004,"Action, Crime",PG-13,tt0351977,Mort Briskin,Kevin Bray
War Games,2010,"Action, Horror, Thriller",N/A,tt1543459,Cosimo Alem?,Cosimo Alem?
War Horse,2011,"Action, Adventure, Drama",PG-13,tt1568911,Lee Hall,Steven Spielberg
WAR MACHINE,2017,"Comedy, Drama, War",TV-MA,tt4758646,Michael Hastings,David Mich?d
Watchmen,2009,"Action, Drama, Mystery",R,tt0409459,Dave Gibbons,Zack Snyder
Wicker Park,2004,"Drama, Mystery, Romance",PG-13,tt0324554,Gilles Mimouni,Paul McGuigan
Windtalkers,2002,"Action, Drama, War",R,tt0245562,John Rice,John Woo
Without Remorse,2021,"Action, Thriller, War",R,tt0499097,Taylor Sheridan,Stefano Sollima
Woman in Gold,2015,"Biography, Drama, History",PG-13,tt2404425,Alexi Kaye Campbell,Simon Curtis
Wonder Woman 1984,2020,"Action, Adventure, Fantasy",PG-13,tt7126948,Patty Jenkins,Patty Jenkins
World War Z ,2013,"Action, Adventure, Horror",PG-13,tt0816711,Matthew Michael Carnahan,Marc Forster
Wrath Of Man,2021,"Action, Crime, Thriller",R,tt11083552,Nicolas Boukhrief,Guy Ritchie
X-Men First Class,2011,"Action, Sci-Fi",PG-13,tt1270798,Ashley Miller,Matthew Vaughn
You Only Live Twice,1967,"Action, Adventure, Thriller",PG,tt0062512,Harold Jack Bloom,Lewis Gilbert
Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy",R,tt12361974,Jerry Siegel,Zack Snyder
Zero Dark Thirty,2012,"Drama, History, Thriller",R,tt1790885,Mark Boal,Kathryn Bigelow
